SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,I,1,INDEX,0,NIFTY MIDCAP 150,1,NIFTY Midcap 150,0001-01-01,,XX,0.05,,INDEX,X,NIFTY MIDCAP 150
BSE,I,2,INDEX,0,BSEDSI,1,BSE DSI,0001-01-01,,XX,0.01,,INDEX,X,BSEDSI
NSE,I,3,INDEX,0,NIFTY SMALLCAP 250,1,NIFTY Smallcap 250,0001-01-01,,XX,0.05,,INDEX,X,NIFTY SMALLCAP 250
BSE,I,4,INDEX,0,BSEEVI,1,BSE Enhanced Value Index,0001-01-01,,XX,0.01,,INDEX,X,BSEEVI
NSE,I,5,INDEX,0,NIFTY SMALLCAP 100,1,NIFTY Smallcap 100,0001-01-01,,XX,0.05,,INDEX,X,NIFTY SMALLCAP 100
NSE,I,6,INDEX,0,NIFTY LARGEMID250,1,Nifty Largemid250,0001-01-01,,XX,0.05,,INDEX,X,NIFTY LARGEMID250
NSE,I,7,INDEX,0,NIFTY MIDSMALLCAP 400,1,Nifty MidSmallCap 400,0001-01-01,,XX,0.05,,INDEX,X,NIFTY MIDSMALLCAP 400
NSE,I,10,INDEX,0,NIFTY100 EQUAL WEIGHT,1,Nifty100 Equal Weight,0001-01-01,,XX,0.05,,INDEX,X,NIFTY100 EQUAL WEIGHT
NSE,I,11,INDEX,0,NIFTY100 LOW VOLATILITY 30,1,Nifty 100 Low Volatility 30,0001-01-01,,XX,0.05,,INDEX,X,NIFTY100 LOW VOLATILITY 30
NSE,I,12,INDEX,0,NIFTY ALPHA 50,1,NIFTY ALPHA 50,0001-01-01,,XX,0.05,,INDEX,X,NIFTY ALPHA 50
NSE,I,13,INDEX,0,NIFTY,1,Nifty 50,0001-01-01,,XX,0.05,,INDEX,X,NIFTY
NSE,I,14,INDEX,0,NIFTY AUTO,1,NIFTY Auto,0001-01-01,,XX,0.05,,INDEX,X,NIFTY AUTO
NSE,I,15,INDEX,0,NIFTY PVT BANK,1,NIFTY Private Bank,0001-01-01,,XX,0.05,,INDEX,X,NIFTY PVT BANK
NSE,I,16,INDEX,0,NIFTY MID LIQ 15,1,Nifty Midcap Liquid 15,0001-01-01,,XX,0.05,,INDEX,X,NIFTY MID LIQ 15
NSE,I,17,INDEX,0,NIFTY 100,1,NIFTY 100,0001-01-01,,XX,0.05,,INDEX,X,NIFTY 100
NSE,I,18,INDEX,0,NIFTY 200,1,NIFTY 200,0001-01-01,,XX,0.05,,INDEX,X,NIFTY 200
NSE,I,19,INDEX,0,NIFTY 500,1,NIFTY 500,0001-01-01,,XX,0.05,,INDEX,X,NIFTY 500
NSE,I,20,INDEX,0,NIFTYMCAP50,1,Nifty Mid Cap 50,0001-01-01,,XX,0.05,,INDEX,X,NIFTYMCAP50
NSE,I,21,INDEX,0,INDIA VIX,1,India VIX,0001-01-01,,XX,0.05,,INDEX,X,INDIA VIX
NSE,I,22,INDEX,0,NIFTY SMALLCAP 50,1,Nifty Smallcap 50,0001-01-01,,XX,0.05,,INDEX,X,NIFTY SMALLCAP 50
BSE,I,23,INDEX,0,BSELVI,1,BSELVI,0001-01-01,,XX,0.01,,INDEX,X,BSELVI
NSE,I,25,INDEX,0,BANKNIFTY,1,Nifty Bank,0001-01-01,,XX,0.05,,INDEX,X,BANKNIFTY
NSE,I,27,INDEX,0,FINNIFTY,1,Finnifty,0001-01-01,,XX,0.05,,INDEX,X,FINNIFTY
NSE,I,28,INDEX,0,NIFTY FMCG,1,NIFTY FMCG,0001-01-01,,XX,0.05,,INDEX,X,NIFTY FMCG
NSE,I,29,INDEX,0,NIFTYIT,1,Nifty IT,0001-01-01,,XX,0.05,,INDEX,X,NIFTYIT
NSE,I,30,INDEX,0,NIFTY MEDIA,1,NIFTY Media,0001-01-01,,XX,0.05,,INDEX,X,NIFTY MEDIA
NSE,I,31,INDEX,0,NIFTY METAL,1,NIFTY Metal,0001-01-01,,XX,0.05,,INDEX,X,NIFTY METAL
NSE,I,32,INDEX,0,NIFTY PHARMA,1,NIFTY Pharma,0001-01-01,,XX,0.05,,INDEX,X,NIFTY PHARMA
NSE,I,33,INDEX,0,NIFTY PSU BANK,1,NIFTY PSU Bank,0001-01-01,,XX,0.05,,INDEX,X,NIFTY PSU BANK
NSE,I,34,INDEX,0,NIFTY REALTY,1,NIFTY Realty,0001-01-01,,XX,0.05,,INDEX,X,NIFTY REALTY
NSE,I,35,INDEX,0,NIFTY100 LIQ 15,1,Nifty100 Liquid 15,0001-01-01,,XX,0.05,,INDEX,X,NIFTY100 LIQ 15
BSE,I,36,INDEX,0,BSEMOI,1,BSE Momentum Index,0001-01-01,,XX,0.01,,INDEX,X,BSEMOI
NSE,I,37,INDEX,0,NIFTY MID100 FREE,1,NIFTY Midcap 100,0001-01-01,,XX,0.05,,INDEX,X,NIFTY MID100 FREE
NSE,I,38,INDEX,0,NIFTY NEXT 50,1,Nifty Next 50,0001-01-01,,XX,0.05,,INDEX,X,NIFTY NEXT 50
NSE,I,39,INDEX,0,NIFTY COMMODITIES,1,Nifty Commodities,0001-01-01,,XX,0.05,,INDEX,X,NIFTY COMMODITIES
NSE,I,40,INDEX,0,NIFTY CONSUMPTION,1,NIFTY Consumption,0001-01-01,,XX,0.05,,INDEX,X,NIFTY CONSUMPTION
NSE,I,41,INDEX,0,NIFTYPSE,1,Nifty PSE,0001-01-01,,XX,0.05,,INDEX,X,NIFTYPSE
NSE,I,42,INDEX,0,NIFTY ENERGY,1,NIFTY Energy,0001-01-01,,XX,0.05,,INDEX,X,NIFTY ENERGY
NSE,I,43,INDEX,0,NIFTYINFRA,1,NIFTY Infra,0001-01-01,,XX,0.05,,INDEX,X,NIFTYINFRA
NSE,I,44,INDEX,0,NIFTY MNC,1,NIFTY MNC,0001-01-01,,XX,0.05,,INDEX,X,NIFTY MNC
NSE,I,45,INDEX,0,NIFTYCPSE,1,Nifty CPSE,0001-01-01,,XX,0.05,,INDEX,X,NIFTYCPSE
NSE,I,46,INDEX,0,NIFTY SERV SECTOR,1,NIFTY Services Sector,0001-01-01,,XX,0.05,,INDEX,X,NIFTY SERV SECTOR
BSE,I,51,INDEX,0,SENSEX,1,Sensex,0001-01-01,,XX,0.01,,INDEX,X,SENSEX
BSE,I,52,INDEX,0,BSEPBI,1,BSE Private Banks Index,0001-01-01,,XX,0.01,,INDEX,X,BSEPBI
BSE,I,53,INDEX,0,ESG100,1,BSE 100 ESG,0001-01-01,,XX,0.01,,INDEX,X,ESG100
BSE,I,54,INDEX,0,LCTMCI,1,BSE 100 LargeCap TMC Index,0001-01-01,,XX,0.01,,INDEX,X,LCTMCI
BSE,I,55,INDEX,0,LMI250,1,BSE 250 Large Mid,0001-01-01,,XX,0.01,,INDEX,X,LMI250
BSE,I,56,INDEX,0,MID150,1,BSE 150 MidCap,0001-01-01,,XX,0.01,,INDEX,X,MID150
BSE,I,57,INDEX,0,MSL400,1,BSE 400 Mid Small,0001-01-01,,XX,0.01,,INDEX,X,MSL400
BSE,I,64,INDEX,0,MIDCAP,1,BSE Mid Cap,0001-01-01,,XX,0.01,,INDEX,X,MIDCAP
BSE,I,65,INDEX,0,BSE100,1,BSE 100,0001-01-01,,XX,0.01,,INDEX,X,BSE100
BSE,I,66,INDEX,0,BSE200,1,BSE 200,0001-01-01,,XX,0.01,,INDEX,X,BSE200
BSE,I,67,INDEX,0,BSE500,1,BSE 500,0001-01-01,,XX,0.01,,INDEX,X,BSE500
BSE,I,68,INDEX,0,AUTO,1,BSE Auto,0001-01-01,,XX,0.01,,INDEX,X,AUTO
BSE,I,69,INDEX,0,BANKEX,1,BSE BANKEX,0001-01-01,,XX,0.01,,INDEX,X,BANKEX
BSE,I,70,INDEX,0,BSE CD,1,BSE Consumer Durables,0001-01-01,,XX,0.01,,INDEX,X,BSE CD
BSE,I,71,INDEX,0,BSE CG,1,BSE Capital Goods,0001-01-01,,XX,0.01,,INDEX,X,BSE CG
BSE,I,72,INDEX,0,BSEFMC,1,BSE FMCG,0001-01-01,,XX,0.01,,INDEX,X,BSEFMC
BSE,I,73,INDEX,0,BSE HC,1,BSE Healthcare,0001-01-01,,XX,0.01,,INDEX,X,BSE HC
BSE,I,74,INDEX,0,BSE IT,1,BSE IT,0001-01-01,,XX,0.01,,INDEX,X,BSE IT
BSE,I,75,INDEX,0,METAL,1,BSE Metals,0001-01-01,,XX,0.01,,INDEX,X,METAL
BSE,I,76,INDEX,0,OILGAS,1,BSE Oil and Gas,0001-01-01,,XX,0.01,,INDEX,X,OILGAS
BSE,I,77,INDEX,0,POWER,1,BSE Power,0001-01-01,,XX,0.01,,INDEX,X,POWER
BSE,I,78,INDEX,0,BSEPSU,1,BSE PSU,0001-01-01,,XX,0.01,,INDEX,X,BSEPSU
BSE,I,79,INDEX,0,REALTY,1,BSE Realty,0001-01-01,,XX,0.01,,INDEX,X,REALTY
BSE,I,80,INDEX,0,TECK,1,BSE TECk,0001-01-01,,XX,0.01,,INDEX,X,TECK
BSE,I,81,INDEX,0,BSEQUI,1,BSEQUI,0001-01-01,,XX,0.01,,INDEX,X,BSEQUI
BSE,I,82,INDEX,0,SMLCAP,1,BSE Small Cap,0001-01-01,,XX,0.01,,INDEX,X,SMLCAP
BSE,I,83,INDEX,0,SNSX50,1,BSE Sensex 50,0001-01-01,,XX,0.01,,INDEX,X,SNSX50
BSE,I,84,INDEX,0,ALLCAP,1,BSE AllCap,0001-01-01,,XX,0.01,,INDEX,X,ALLCAP
BSE,I,85,INDEX,0,INFRA,1,BSE India Infrastructure Index,0001-01-01,,XX,0.01,,INDEX,X,INFRA
BSE,I,86,INDEX,0,CPSE,1,BSE CPSE,0001-01-01,,XX,0.01,,INDEX,X,CPSE
BSE,I,87,INDEX,0,MFG,1,BSE India Mfg,0001-01-01,,XX,0.01,,INDEX,X,MFG
BSE,I,88,INDEX,0,UTILS,1,BSE Utilities,0001-01-01,,XX,0.01,,INDEX,X,UTILS
BSE,I,89,INDEX,0,TELCOM,1,BSE Telecom,0001-01-01,,XX,0.01,,INDEX,X,TELCOM
BSE,I,90,INDEX,0,SMLSEL,1,BSE SmallCap Select Index,0001-01-01,,XX,0.01,,INDEX,X,SMLSEL
BSE,I,91,INDEX,0,COMDTY,1,BSE Basic Materials,0001-01-01,,XX,0.01,,INDEX,X,COMDTY
BSE,I,92,INDEX,0,ENERGY,1,BSE Energy,0001-01-01,,XX,0.01,,INDEX,X,ENERGY
BSE,I,93,INDEX,0,FINSER,1,BSE Finance,0001-01-01,,XX,0.01,,INDEX,X,FINSER
BSE,I,94,INDEX,0,LRGCAP,1,BSE LargeCap,0001-01-01,,XX,0.01,,INDEX,X,LRGCAP
BSE,I,95,INDEX,0,MIDSEL,1,BSE MidCap Select Index,0001-01-01,,XX,0.01,,INDEX,X,MIDSEL
BSE,I,96,INDEX,0,CONDIS,1,Consumer Discretionary Goods & Services,0001-01-01,,XX,0.01,,INDEX,X,CONDIS
BSE,I,97,INDEX,0,INDSTR,1,BSE Industrials,0001-01-01,,XX,0.01,,INDEX,X,INDSTR
BSE,I,98,INDEX,0,SNXN30,1,BSE Sensex Next 30,0001-01-01,,XX,0.01,,INDEX,X,SNXN30
BSE,I,99,INDEX,0,CAPINS,1,BSE Capital Markets & Insurance,0001-01-01,,XX,0.01,,INDEX,X,CAPINS
NSE,I,284,INDEX,0,NIFTY DIV OPPS 50,1,Nifty Dividend Opportunities 50,0001-01-01,,XX,0.05,,INDEX,X,NIFTY DIV OPPS 50
NSE,I,285,INDEX,0,NIFTY GROWSECT 15,1,Nifty Growth Sectors 15,0001-01-01,,XX,0.05,,INDEX,X,NIFTY GROWSECT 15
NSE,I,286,INDEX,0,NIFTY50 VALUE 20,1,Nifty50 Value 20 Index,0001-01-01,,XX,0.05,,INDEX,X,NIFTY50 VALUE 20
NSE,I,287,INDEX,0,NIFTY100 QUALTY30,1,Nifty100 Qualty30,0001-01-01,,XX,0.05,,INDEX,X,NIFTY100 QUALTY30
